6.000000000000000000e+01 5.886666666666666714e+01 5.773333333333333428e+01 5.660000000000000142e+01
5.660000000000000142e+01 5.546666666666666856e+01 5.433333333333333570e+01 5.320000000000000284e+01
5.660000000000000142e+01 5.546666666666666856e+01 5.433333333333333570e+01 5.320000000000000284e+01
5.320000000000000284e+01 5.206666666666666998e+01 5.093333333333333712e+01 4.980000000000000426e+01
5.320000000000000284e+01 5.206666666666666998e+01 5.093333333333333712e+01 4.980000000000000426e+01
5.320000000000000284e+01 5.263333333333333997e+01 5.206666666666667709e+01 5.150000000000001421e+01
5.150000000000001421e+01 5.093333333333335133e+01 5.036666666666668846e+01 4.980000000000002558e+01
4.980000000000000426e+01 4.866666666666667140e+01 4.753333333333333854e+01 4.640000000000000568e+01
4.980000000000000426e+01 4.866666666666667140e+01 4.753333333333333854e+01 4.640000000000000568e+01
4.640000000000000568e+01 4.526666666666667282e+01 4.413333333333333997e+01 4.300000000000000711e+01
